"企業管理コード","決算期年","売上高_百万円","利益_千円"
A03112202,2018,271,1211
A03112202,2019,292,1140
A04122803,2018,289,1434
A04122803,2019,308,769
A04122913,2018,348,1355
A04122913,2019,308,1558
A05122064,2018,258,700
A05122064,2019,325,586
A08078487,2018,314,689
A08078487,2019,312,989
A08104405,2018,277,30
A08104405,2019,269,353
A08126580,2018,307,2560
A08126580,2019,331,624
A08130453,2018,280,1119
A08130453,2019,269,1483
A08144045,2018,290,1382
A08144045,2019,282,1272
A08507584,2018,255,1537
A08507584,2019,302,1337
A08507655,2018,270,1076
A08507655,2019,278,723
A08514558,2018,332,1044
A08514558,2019,280,1161
A08570230,2018,315,1428
A08570230,2019,290,1279
A08584400,2018,332,410
A08584400,2019,302,427
A08620455,2018,279,506
A08620455,2019,304,1356
A08629524,2018,321,1280
A08629524,2019,300,1235
A08676453,2018,318,1394
A08676453,2019,330,450
A08680065,2018,366,1527
A08680065,2019,292,1135
A09104114,2018,289,1422
A09104114,2019,323,289
A09114020,2018,279,1535
A09114020,2019,270,818
A11123355,2018,349,1122
A11123355,2019,324,2030
A11129037,2018,270,1422
A11129037,2019,306,1136
A12123384,2018,330,1209
A12123384,2019,344,1987
A13127605,2018,344,997
A13127605,2019,294,345
A14117268,2018,322,830
A14117268,2019,318,1225
A14122475,2018,313,1094
A14122475,2019,279,1739
A18018937,2018,277,1342
A18018937,2019,278,921
A18037561,2018,311,643
A18037561,2019,282,1547
A18073604,2018,234,489
A18073604,2019,320,1285
A18123020,2018,309,1627
A18123020,2019,304,1347
A18144978,2018,295,1007
A18144978,2019,315,633
A18184643,2018,347,1201
A18184643,2019,339,-2
A18546597,2018,254,583
A18546597,2019,320,1261
A18552320,2018,269,1195
A18552320,2019,333,1264
A18600201,2018,318,997
A18600201,2019,291,1155
A18644787,2018,298,1585
A18644787,2019,267,1078
A18646280,2018,289,247
A18646280,2019,271,1724
A18652179,2018,262,2089
A18652179,2019,323,1409
A18656866,2018,326,2050
