
äÈã∆ÉRÅ[Éh,èZèäÉRÅ[Éh,ÇsÇcÇaéYã∆ï™óﬁÉRÅ[Éh,éëñ{ã‡(êÁâ~),è]ã∆àıêî,ç≈êVä˙ã∆ê—îÑè„çÇ(ïSñúâ~)
786356452,1020505200,32231,10000,1,260
786074642,1020305700,35991,3000,6,170
756959474,1020412900,25111,3000,3,17
786078084,1020504100,34541,10000,4,4
786350078,1020520100,27901,3000,3,75
756030824,1020505200,34541,10000,0,2450
756895333,1020405000,34301,3000,2,815
254325732,1020602500,36133,10000,25,9
786367011,1020113600,34531,10000,30,350
756968180,1020302807,37141,7000,4,17
756364450,1020708700,39402,48000,25,65
786377996,1020208000,23911,10000,1,130
756849302,1020803600,23991,10000,25,39
786045945,1020517700,34431,10000,3,58
786375797,1052000203,22608,5000,2,554
073885172,1020708700,37191,10000,2,12000
786006689,1020512500,27401,3000,25,126
839304508,1020800900,36622,10000,102,7
756050274,1020301501,36809,3000,2,230
756963415,1020900300,24111,3000,6,11
756332278,1020402900,35991,3000,3,800
954323118,1020412900,20111,1000,2,554
786033263,1020706300,23301,10000,0,330
756369146,1020204300,39698,37889,1,54
756010012,1020115700,23921,20000,2,140
756301683,1020207400,28993,3000,2,170
756934146,1020405900,23991,3000,25,590
786021926,1046000423,36622,7000,0,310
756826905,1052000516,34411,30000,11,12
756017685,1020518200,34431,15000,1,70
756871656,1020108007,22601,3000,10,306
756352261,1020104300,34421,3000,21,120
756847946,1020504600,36201,70000,18,150
786037042,1020214500,35611,80000,0,70
786313601,1020407200,39692,11000,24,25
756034923,1020512500,37191,0,1,130
786045795,1020512500,22607,10000,5,35
307326324,1020602700,20111,15000,15,18
756092880,1038000109,35951,5000,10,90
786381939,1020305400,34529,10000,3,172
756907878,1042000705,37191,10000,15,1162
756358116,1020203300,35991,10000,8,65
071978494,1020214802,35411,5000,5,16
756990023,1021200400,35991,3000,4,45
756319887,1020513300,34431,3000,10,10
786390260,1021103900,36629,5000,6,736
756913727,1020408902,35991,10000,20,19
756098554,1020212700,34432,17000,2,1309
756098786,1020218700,39881,10000,12,45
756984073,1020504300,39821,0,18,350
756397175,1020410100,23999,5000,8,87
756386812,1020220400,20199,3000,10,1207
786360853,1020412900,24111,10000,115,530
187311676,1020300102,35951,75000,4,25
756839781,1020400900,33721,3000,3,625
074829922,1020113600,34432,10000,78,5
786083850,1020403800,36629,10000,11,193
756388062,1020405400,23301,10000,1,102
786392153,1020903500,20702,3000,0,10
786377192,1020412103,36624,5000,35,350
786036055,1020305900,20523,5000,40,60
786014415,1020404300,27401,5000,45,450
786010139,1020117900,35991,5000,5,9
537327054,1020511900,33721,7500,3,430
756030980,1046000421,20404,25000,6,18
756347059,1020405100,36502,30000,35,50
786391183,1020204300,23999,0,2,360
786309971,1020708700,25301,50000,4,10
756096236,1021201900,36133,10000,3,48
786048272,1020408901,34421,300200,10,438
756674025,1020601600,35971,3000,1,200
039387164,1020903700,34541,10000,151,85
756845538,1020305700,33137,154840,13,1766
756963602,1020113800,35951,10000,40,4
756615517,1020300604,34431,10000,5,67
756947798,1020505200,36809,3000,200,489
786074443,1021201300,23911,3000,0,96
756044988,1020215300,36809,60000,1,70
090320462,1020106902,35641,3000,7,280
756627762,1020409000,34529,10000,1,2
756067541,1021001100,23801,3000,2,50
125320362,1021103600,34541,3000,7,13
756346062,1020504300,20702,10000,15,84
663314170,1020300101,37121,250,5,150
786081567,1020400702,25301,10000,5,370
786340592,1020708600,27401,5000,2,300
796215277,1020515500,34421,14000,1,120
786366806,1020409700,20301,3000,1,50
756882906,1020304204,34529,10000,3,800
030337647,1021101700,36141,5000,8,50
756834300,1021105000,32703,3000,22,61
756096817,1020104200,36141,3000,9,150
623312814,1020205100,20521,5000,30,50
756031700,1021000900,20519,10000,5,12
786364842,1020114500,35941,10000,1,30
756367602,1020520000,28931,3000,16,1022
756913727,1020408902,35991,10000,20,19
320328550,1020520100,35951,3000,8,40
756067442,1020516800,23911,3800,12,40
756941644,1021003200,36629,5000,3,240
786382142,1020411200,35951,3000,40,630
786321629,1020102601,39651,3000,0,70
756831155,1046000422,22411,5500,3,65
075033932,1020602400,34421,150000,13,38
756398982,1020708700,35441,8000,15,68
756855406,1020108101,22603,3000,8,100
786020054,1020210300,34432,10000,3,370
756314238,1052000203,25111,10000,3,152
945315803,1021000800,32301,5000,8,100
933322301,1020213100,39401,10000,0,45
756822702,1020515500,34524,30000,3,70
756848094,1020518200,32221,0,6,20
756004919,1020507100,34431,10000,3,50
756915780,1020709300,39651,10000,4,10
786376442,1052000113,35991,15000,4,174
915323924,1020204300,20999,10000,65,70
756007949,1020100603,34431,10000,1,20
