
äÈã∆ÉRÅ[Éh,èZèäÉRÅ[Éh,ÇsÇcÇaéYã∆ï™óﬁÉRÅ[Éh,éëñ{ã‡(êÁâ~),è]ã∆àıêî,ç≈êVä˙ã∆ê—îÑè„çÇ(ïSñúâ~)
756604062,1020217100,36809,15000,4,207
756904293,1020303305,27401,5000,8,48
756871229,1020513200,39651,5000,4,12000
756395485,1020512500,34911,0,3,45
181311612,1020504300,34521,0,0,110
756835652,1020202600,35731,3000,18,10
756386483,1020107000,23201,35000,3,18
756002594,1021201000,37191,1000,26,55
786382679,1020517100,28161,3000,13,24
756824132,1020112500,35991,3000,4,160
716399816,1052000209,35741,10000,162,50
580325815,1020803700,39881,3000,11,20
756901640,1021201900,35951,0,0,300
756673112,1020206404,34431,200000,35,110
756804417,1020220100,34541,10000,14,350
756076211,1021003400,22601,2271000,58,8
756360405,1020705000,35991,5000,3,18
786303621,1052000201,35991,3000,7,151
756012180,1020513600,20523,3000,4,1060
756340692,1034000404,35951,13000,0,5771
786387888,1020407200,37191,21000,0,2875
032297066,1020204300,39651,3000,3,130
756315078,1020707100,35899,5000,5,530
716962374,1038000109,39909,2000,6,800
756925785,1038000215,20951,3000,78,59
786047459,1020900100,35951,2000,25,8
133321946,1020108006,30603,3000,20,350
756998833,1020304900,32703,3000,29,134
333320208,1020110800,39909,3000,11,28
756012151,1020300101,36133,3000,8,1326
756306416,1020302702,35431,10000,25,22
756052009,1020302806,30603,0,2,300
756013032,1020504100,25111,3500,1,118
530326912,1038000304,23999,3000,44,210
756332278,1020402900,35991,3000,3,800
756044269,1021101200,20121,10000,3,21
756341606,1020600200,24303,10000,8,1025
756052684,1020504300,34431,10000,0,15
786316897,1020517600,35951,0,0,210
756853585,1020221700,35301,3000,11,1226
756979104,1020500300,35991,10000,0,95
756394402,1020100600,34524,5000,0,14
675314609,1020708500,34801,10000,39,90
756039652,1020409102,34999,3000,0,12
756981059,1020217900,37131,1500,2,25
756338110,1020203000,35951,1000,4,23
786377351,1020520100,35411,80000,20,122
786020592,1052000209,35411,9885337,4,400
756965029,1020210700,27401,3000,7,55
168303142,1052000308,37191,10000,32,90
756871461,1020800700,35991,5000,3,300
756045765,1020300104,20821,8000,50,120
756608302,1020901700,34999,10000,8,100
786389242,1020104100,31701,5000,0,16
307326324,1020602700,20111,15000,15,18
786396285,1020305700,34431,11000,33,6614
756621484,1020706600,34209,5000,3,426
269318576,1020504300,20996,3000,4,95
756987415,1020109100,39661,5000,1,250
051311112,1020405700,35699,10000,9,30
071947929,1020515500,20301,5000,45,40
756882906,1020304204,34529,10000,3,800
786386453,1020214500,35899,62825,8,201
756065800,1020406500,20996,10000,1,40
756816864,1020212700,33721,12000,4,15
756059302,1034000501,37191,10000,10,38
786013392,1020519500,35991,0,6,1020
756946381,1020409102,39402,10000,0,200
786041909,1038000202,20951,3000,0,30
786378931,1021001600,38411,10000,2,151
756875322,1020900600,35411,6000,6,18
039784859,1052000203,23991,10000,35,40
786024592,1020106600,34541,10000,1,16
756093045,1020515500,23301,10000,2,65
090325364,1021201000,27401,10000,10,18
756368633,1020104200,20999,5000,0,420
786352623,1020412900,25111,0,2,15
756010959,1020902500,34209,3000,5,35
